,S_1_GRU_ID,S_1_HRU_ID,S_1_center_lat,S_1_center_lon,S_1_HRU_area,S_1_elev_mean,ID_t,lat_t,lon_t,order_t,AS1,IDS1,S_2_ID,S_2_lat,S_2_lon,S_2_elev_m,lat_s,lon_s,ID_s,S_2_lat_temp,S_2_lon_temp,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
68,71029857,14,51.217743602972206,-115.58177230952799,4604453.916,2251.4697985453454,14,51.217743602972206,51.217743602972206,41,4604453.917067515,41,19.0,51.25,-115.5,2020,51.25,-115.5,19,51.25,-115.5,485478527.5715949,19,4604453.917067515,1.0,0.009484361625836239,1.0,0.0596877479532662
72,71029963,15,51.11130189910444,-115.67616728854993,5924269.659,2262.1000473788886,15,51.11130189910444,51.11130189910444,44,5924269.661188039,44,16.0,51.0,-115.75,2003,51.0,-115.75,16,51.0,-115.75,488085265.98448217,16,5388830.410969,0.9096193656195483,0.011040756168083813,0.9096193656195487,0.03251645677649646
71,71029963,15,51.11130189910444,-115.67616728854993,5924269.659,2262.1000473788886,15,51.11130189910444,51.11130189910444,44,5924269.661188039,44,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,535439.250219036,0.09038063438045126,0.0011029102623702671,0.0903806343804513,0.0013350794444713819
77,71029992,16,51.521204479020355,-116.17623762804364,43314254.54,2311.798003889686,16,51.521204479020355,51.521204479020355,47,43314254.55889023,47,10.0,51.5,-116.0,2259,51.5,-116.0,10,51.5,-116.0,482862192.655894,10,2447817.3801954435,0.05651297488837956,0.005069391261990668,0.05651297488837956,0.010001090108942852
76,71029992,16,51.521204479020355,-116.17623762804364,43314254.54,2311.798003889686,16,51.521204479020355,51.521204479020355,47,43314254.55889023,47,6.0,51.5,-116.25,2258,51.5,-116.25,6,51.5,-116.25,482862192.65593123,6,40866437.178694785,0.9434870251116204,0.08463374809676726,0.9434870251116204,0.09586965017251829
80,71030071,17,51.10177958772398,-115.64492811347579,3284716.741,2293.1301961330055,17,51.10177958772398,51.10177958772398,50,3284716.7415709887,50,16.0,51.0,-115.75,2003,51.0,-115.75,16,51.0,-115.75,488085265.98448217,16,3284716.7415709887,1.0,0.006729801062414002,1.0,0.019820135688983692
82,71030100,18,51.18720846155113,-115.8432328996518,10306050.76,2341.9224303943306,18,51.18720846155113,51.18720846155113,52,10306050.764042497,52,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,758607.5827933649,0.07360798041477964,0.0015625976015622872,0.07360798041477964,0.001991807856299318
83,71030100,18,51.18720846155113,-115.8432328996518,10306050.76,2341.9224303943306,18,51.18720846155113,51.18720846155113,52,10306050.764042497,52,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,9547443.181249132,0.9263920195852204,0.019666046259569366,0.9263920195852204,0.023805866180579463
88,71030270,19,51.60433016201385,-116.14612062771295,16904698.44,2380.264395329075,19,51.60433016201385,51.60433016201385,55,16904698.44538112,55,6.0,51.5,-116.25,2258,51.5,-116.25,6,51.5,-116.25,482862192.65593123,6,9436526.803547999,0.5582191740383483,0.01954289846476363,0.5582191740383483,0.022137396503245477
89,71030270,19,51.60433016201385,-116.14612062771295,16904698.44,2380.264395329075,19,51.60433016201385,51.60433016201385,55,16904698.44538112,55,10.0,51.5,-116.0,2259,51.5,-116.0,10,51.5,-116.0,482862192.655894,10,6408879.473870603,0.379118237132571,0.013272688504808691,0.379118237132571,0.026184870503050555
87,71030270,19,51.60433016201385,-116.14612062771295,16904698.44,2380.264395329075,19,51.60433016201385,51.60433016201385,55,16904698.44538112,55,5.0,51.75,-116.25,2284,51.75,-116.25,5,51.75,-116.25,480236308.72817594,5,1059292.1679625185,0.0626625888290808,0.0022057727595980268,0.0626625888290808,0.007842330310693568
93,71030287,20,51.41047676695771,-116.05230907259902,15347223.09,2301.928243692535,20,51.41047676695771,51.41047676695771,57,15347223.100638643,57,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,696718.4585392303,0.0453970372340673,0.0014351169392069214,0.04539703723406731,0.001829311136381284
94,71030287,20,51.41047676695771,-116.05230907259902,15347223.09,2301.928243692535,20,51.41047676695771,51.41047676695771,57,15347223.100638643,57,10.0,51.5,-116.0,2259,51.5,-116.0,10,51.5,-116.0,482862192.655894,10,14650504.64209941,0.9546029627659326,0.03034096449240937,0.9546029627659327,0.059857822014248024
98,71030302,21,51.1933529993014,-115.91412507228387,10877174.61,2257.3265592997454,21,51.1933529993014,51.1933529993014,60,10877174.62079695,60,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,10877174.62079695,1.0,0.022405058108760253,1.0,0.028559221335840844
101,71030418,22,51.00901987397416,-115.59692364591888,54606227.95,2352.439437695002,22,51.00901987397416,51.00901987397416,62,54606227.97234437,62,20.0,51.0,-115.5,2041,51.0,-115.5,20,51.0,-115.5,488085265.98455757,20,44206044.42879522,0.8095421725738613,0.09057033168092775,0.8095421725738619,0.5730920565874738
100,71030418,22,51.00901987397416,-115.59692364591888,54606227.95,2352.439437695002,22,51.00901987397416,51.00901987397416,62,54606227.97234437,62,16.0,51.0,-115.75,2003,51.0,-115.75,16,51.0,-115.75,488085265.98448217,16,10400183.543549117,0.19045782742613807,0.02130812845286703,0.1904578274261382,0.06275519785760615
105,71030527,23,51.03141398845065,-115.66847480929769,26122178.1,2333.8318323918893,23,51.03141398845065,51.03141398845065,64,26122178.110610478,64,20.0,51.0,-115.5,2041,51.0,-115.5,20,51.0,-115.5,488085265.98455757,20,24396.814107796195,0.0009339502243837216,4.99847379301306e-05,0.0009339502243837216,0.0003162830004783639
