,Unnamed: 0,S_1_GRU_ID,S_1_HRU_ID,S_1_center_lat,S_1_center_lon,S_1_HRU_area,S_1_elev_mean,ID_t,lat_t,lon_t,order_t,AS1,IDS1,S_2_ID,S_2_lat,S_2_lon,S_2_elev_m,lat_s,lon_s,ID_s,S_2_lat_temp,S_2_lon_temp,AS2,IDS2,AINT,AP1,AP2,weight,AP2N,rows,cols,easymore_case
23,62,71029778,12,51.616607583262194,-116.30136624932987,18671533.46,2429.18112792269,12,51.616607583262194,51.616607583262194,36,18671533.474220823,36,6.0,51.5,-116.25,2258,51.5,-116.25,6,51.5,-116.25,482862192.6559312,6,12468997.951027974,0.6678079209853606,0.0258230984754544,0.6678079209853613,0.0292513503523645,1.0,1.0,1
24,65,71029798,13,51.1345580939296,-115.66120880390667,1092334.807,2193.0411298393024,13,51.1345580939296,51.1345580939296,38,1092334.8072170464,38,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,1092334.8072170464,1.0,0.0022500167261385,1.0,0.0027236586540854,2.0,3.0,1
25,68,71029857,14,51.217743602972206,-115.581772309528,4604453.916,2251.4697985453454,14,51.217743602972206,51.217743602972206,41,4604453.917067515,41,19.0,51.25,-115.5,2020,51.25,-115.5,19,51.25,-115.5,485478527.5715949,19,4604453.917067515,1.0,0.0094843616258362,1.0,0.0596877479532662,2.0,4.0,1
26,72,71029963,15,51.11130189910444,-115.67616728854992,5924269.659,2262.1000473788886,15,51.11130189910444,51.11130189910444,44,5924269.661188039,44,16.0,51.0,-115.75,2003,51.0,-115.75,16,51.0,-115.75,488085265.98448217,16,5388830.410969,0.9096193656195484,0.0110407561680838,0.9096193656195488,0.0325164567764964,3.0,3.0,1
27,71,71029963,15,51.11130189910444,-115.67616728854992,5924269.659,2262.1000473788886,15,51.11130189910444,51.11130189910444,44,5924269.661188039,44,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,535439.250219036,0.0903806343804512,0.0011029102623702,0.0903806343804513,0.0013350794444713,2.0,3.0,1
28,77,71029992,16,51.52120447902036,-116.17623762804364,43314254.54,2311.798003889686,16,51.52120447902036,51.52120447902036,47,43314254.55889023,47,10.0,51.5,-116.0,2259,51.5,-116.0,10,51.5,-116.0,482862192.655894,10,2447817.3801954435,0.0565129748883795,0.0050693912619906,0.0565129748883795,0.0100010901089428,1.0,2.0,1
29,76,71029992,16,51.52120447902036,-116.17623762804364,43314254.54,2311.798003889686,16,51.52120447902036,51.52120447902036,47,43314254.55889023,47,6.0,51.5,-116.25,2258,51.5,-116.25,6,51.5,-116.25,482862192.6559312,6,40866437.17869479,0.9434870251116204,0.0846337480967672,0.9434870251116204,0.0958696501725182,1.0,1.0,1
30,80,71030071,17,51.10177958772398,-115.6449281134758,3284716.741,2293.130196133005,17,51.10177958772398,51.10177958772398,50,3284716.7415709887,50,16.0,51.0,-115.75,2003,51.0,-115.75,16,51.0,-115.75,488085265.98448217,16,3284716.7415709887,1.0,0.006729801062414,1.0,0.0198201356889836,3.0,3.0,1
31,82,71030100,18,51.18720846155113,-115.8432328996518,10306050.76,2341.9224303943306,18,51.18720846155113,51.18720846155113,52,10306050.764042497,52,11.0,51.25,-116.0,2088,51.25,-116.0,11,51.25,-116.0,485478527.5715949,11,758607.5827933649,0.0736079804147796,0.0015625976015622,0.0736079804147796,0.0019918078562993,2.0,2.0,1
32,83,71030100,18,51.18720846155113,-115.8432328996518,10306050.76,2341.9224303943306,18,51.18720846155113,51.18720846155113,52,10306050.764042497,52,15.0,51.25,-115.75,2169,51.25,-115.75,15,51.25,-115.75,485478527.5715199,15,9547443.181249132,0.9263920195852204,0.0196660462595693,0.9263920195852204,0.0238058661805794,2.0,3.0,1
33,88,71030270,19,51.60433016201385,-116.14612062771296,16904698.44,2380.264395329075,19,51.60433016201385,51.60433016201385,55,16904698.44538112,55,6.0,51.5,-116.25,2258,51.5,-116.25,6,51.5,-116.25,482862192.6559312,6,9436526.803548,0.5582191740383483,0.0195428984647636,0.5582191740383483,0.0221373965032454,1.0,1.0,1
34,89,71030270,19,51.60433016201385,-116.14612062771296,16904698.44,2380.264395329075,19,51.60433016201385,51.60433016201385,55,16904698.44538112,55,10.0,51.5,-116.0,2259,51.5,-116.0,10,51.5,-116.0,482862192.655894,10,6408879.473870603,0.379118237132571,0.0132726885048086,0.379118237132571,0.0261848705030505,1.0,2.0,1
